cell_id,model_id,model_revision,language,condition,split,semantic_clusters,benign_cases,contaminated_cases,repeats,planned_runs,planned_model_calls,max_generated_tokens_per_run,status,run_manifest
M01,Qwen/Qwen2.5-7B-Instruct,unresolved,ko,A,test,40,20,20,3,120,240,1536,not_run,
M02,Qwen/Qwen2.5-7B-Instruct,unresolved,ko,B,test,40,20,20,3,120,240,1536,not_run,
M03,Qwen/Qwen2.5-7B-Instruct,unresolved,ko,C,test,40,20,20,3,120,240,1536,not_run,
M04,Qwen/Qwen2.5-7B-Instruct,unresolved,en,A,test,40,20,20,3,120,240,1536,not_run,
M05,Qwen/Qwen2.5-7B-Instruct,unresolved,en,B,test,40,20,20,3,120,240,1536,not_run,
M06,Qwen/Qwen2.5-7B-Instruct,unresolved,en,C,test,40,20,20,3,120,240,1536,not_run,
M07,mistralai/Mistral-7B-Instruct-v0.3,unresolved,ko,A,test,40,20,20,3,120,240,1536,not_run,
M08,mistralai/Mistral-7B-Instruct-v0.3,unresolved,ko,B,test,40,20,20,3,120,240,1536,not_run,
M09,mistralai/Mistral-7B-Instruct-v0.3,unresolved,ko,C,test,40,20,20,3,120,240,1536,not_run,
M10,mistralai/Mistral-7B-Instruct-v0.3,unresolved,en,A,test,40,20,20,3,120,240,1536,not_run,
M11,mistralai/Mistral-7B-Instruct-v0.3,unresolved,en,B,test,40,20,20,3,120,240,1536,not_run,
M12,mistralai/Mistral-7B-Instruct-v0.3,unresolved,en,C,test,40,20,20,3,120,240,1536,not_run,
M13,meta-llama/Llama-3.1-8B-Instruct,unresolved,ko,A,test,40,20,20,3,120,240,1536,not_run,
M14,meta-llama/Llama-3.1-8B-Instruct,unresolved,ko,B,test,40,20,20,3,120,240,1536,not_run,
M15,meta-llama/Llama-3.1-8B-Instruct,unresolved,ko,C,test,40,20,20,3,120,240,1536,not_run,
M16,meta-llama/Llama-3.1-8B-Instruct,unresolved,en,A,test,40,20,20,3,120,240,1536,not_run,
M17,meta-llama/Llama-3.1-8B-Instruct,unresolved,en,B,test,40,20,20,3,120,240,1536,not_run,
M18,meta-llama/Llama-3.1-8B-Instruct,unresolved,en,C,test,40,20,20,3,120,240,1536,not_run,
